
38	65	5	5902.000000
38	66	5	5702.000000
38	67	5	5632.000000
39	64	5	6367.000000
39	65	5	6257.000000
39	66	5	5971.000000
39	67	5	5425.000000
39	68	5	4899.000000
40	64	5	5860.000000
40	65	5	6191.000000
40	66	5	6370.000000
40	67	5	6228.000000
40	68	5	5842.000000
41	64	5	5479.000000
41	65	5	5534.000000
41	66	5	5664.000000
41	67	5	5951.000000
41	68	5	6252.000000
42	65	5	6043.000000
42	66	5	6002.000000
42	67	5	6254.000000	Average:	 5896.428711
43	44	10	5974.000000
43	45	10	6199.000000
43	46	10	6433.000000
44	43	10	6020.000000
44	44	10	6186.000000
44	45	10	6316.000000
44	46	10	6361.000000
44	47	10	6433.000000
45	43	10	6050.000000
45	44	10	6283.000000
45	45	10	6362.000000
45	46	10	6243.000000
45	47	10	6223.000000
46	43	10	6317.000000
46	44	10	6503.000000
46	45	10	6544.000000
46	46	10	6510.000000
46	47	10	6391.000000
47	44	10	6419.000000
47	45	10	6462.000000
47	46	10	6390.000000	Average:	 6315.190430
6	7	8	23.000000
6	8	8	83.000000
6	9	8	53.000000
7	6	8	16.000000
7	7	8	16.000000
7	8	8	36.000000
7	9	8	41.000000
7	10	8	7.000000
8	6	8	10.000000
8	7	8	11.000000
8	8	8	15.000000
8	9	8	29.000000
8	10	8	15.000000
9	6	8	19.000000
9	7	8	56.000000
9	8	8	48.000000
9	9	8	27.000000
9	10	8	5.000000
10	7	8	15.000000
10	8	8	43.000000
10	9	8	31.000000	Average:	 28.523809
